지하철역,호선,유임승차인원,무임승차인원,유임하차인원,무임하차인원
중곡,7호선,238505.5591,57308.50538,215198.8495,58076.1828
중화,7호선,268905.0645,59728.8172,256635.3011,59368.96774
천왕,7호선,225293.9355,46795.49462,206090.5161,46374.35484
철산,7호선,576258.7634,93579.95699,588783.3978,93367.72043
청담,7호선,490570.828,69415.1828,568120.9677,67277.87097
춘의,7호선,220249.1236,27862.35955,214293.0449,27130.11236
태릉입구,7호선,219614.3548,40361.50538,204308.7957,37445.95699
하계,7호선,455546.5591,100153.1613,427651.3441,95441.66667
학동,7호선,552590.0215,57115.27957,609474.9247,54272.30108
가락시장,8호선,160630.2796,53347.09677,191028.3226,54128.21505
강동구청,8호선,239158.3441,59328.84946,245093.5591,59930.77419
남위례,8호선,94763.25,19649.125,100190.5,19789.75
남한산성입구,8호선,367292.5,71692.9,330686.8,68733.6
남한산성입구(성남법원.검찰청),8호선,333273.4819,72823.40964,300267.7831,70031.61446
단대오거리,8호선,260224.0753,64725.74194,243126.3871,61578.80645
모란,8호선,86942.21505,50382.65591,69119.82796,36610.87097
몽촌토성,8호선,156747.9,37619.5,168830,37474.7
몽촌토성(평화의문),8호선,145171.0964,35292.87952,153958.3494,34692.01205
문정,8호선,413059.6667,46922.55914,429628.5054,46524.62366
복정,8호선,267294.0645,42642.92473,217792.7419,38652.26882
산성,8호선,144673.0538,33534.55914,138437.2688,36748.55914
석촌,8호선,186930.2903,51486.93548,211341.2258,53710.69892
송파,8호선,164449.6882,44416.46237,160011.9785,43917.95699
수진,8호선,113245.0538,42756.58065,101360.3011,42120.73118
신흥,8호선,98118.91398,40594.11828,104972.2151,42242.60215
암사,8호선,435519.2043,91741.43011,375435.7527,90388.21505
잠실,8호선,324391.6,56857.1,382660.3,52187.1
잠실(송파구청),8호선,354263.2289,63734.55422,423414.747,60757.04819
장지,8호선,431535.5699,66922.88172,416107.6989,63923.70968
천호,8호선,479903.5,87878.1,547121.8,81637
천호(풍납토성),8호선,417541.7229,83933.6988,489243.4578,79262.46988
가양,9호선,474047.9032,116899.5269,456601.5269,113625.0108
개화,9호선,125638.7634,27180.65591,81784.23656,21437.2043
고속터미널,9호선,354303.1505,49807.07527,515297.6774,58703.78495
공항시장,9호선,62427.37634,21534.56989,69346.95699,23641.67742
구반포,9호선,62417.76344,20938.41935,66513.88172,21212.74194
국회의사당,9호선,387405,50622.8172,392349.914,44427.78495
김포공항,9호선,241469.086,18994.33333,321322.4624,21525.8172
노들,9호선,104450.7204,29643.86022,87732.89247,27603.92473
노량진,9호선,717114.5054,83262.36559,733924.1183,85216.96774
당산,9호선,458111.6452,60435.62366,442925.0753,55743.22581
동작,9호선,50812.4,15010.7,38456.1,12938.3
동작(현충원),9호선,47486.86747,14973.66265,36653.96386,12893.61446
둔촌오륜,9호선,22590.07273,5326.490909,20089.29091,5361.745455
등촌,9호선,224947.914,75205.12903,221192.086,75880.46237
마곡나루,9호선,187705.1563,16830.98438,182920.6875,16473
마곡나루(서울식물원),9호선,253217.069,24324.06897,253073.6207,23899.72414
봉은사,9호선,391907.957,39880.83871,391512.914,37927.7957
사평,9호선,70051.39785,15485.12903,66566.32258,15485.5914
삼성중앙,9호선,134919.7419,20059.49462,140467.4086,19874.89247
삼전,9호선,134492.7636,29322.74545,130466.6364,28586.12727
샛강,9호선,122812.8925,24286.78495,128916.6129,24294.19355
석촌,9호선,172670.6545,27518.61818,145500.9273,23327.98182
석촌고분,9호선,116458.7818,28105.81818,114201.4182,27941.41818
선유도,9호선,175232.2796,24586.72043,171431.5591,24070.4086
선정릉,9호선,200138,20548.70968,214222.2688,20668.89247
송파나루,9호선,94591.54545,21438.8,100422.3818,21865.30909
신논현,9호선,830370,51781.5914,840874.043,48973.56989
신목동,9호선,95753.45161,18341.29032,83928.12903,17111.78495
신반포,9호선,73996.83871,20487.60215,74187.22581,20760.67742
신방화,9호선,171310.871,41280.80645,164986.7204,41325.55914
양천향교,9호선,202450.7419,39044.1828,204152.0645,38658.84946
언주,9호선,221197.5376,23701.46237,222165.0108,23222.13978
여의도,9호선,561225.2581,41016.22581,544011.3763,37619.65591
염창,9호선,410658.0215,60844.50538,394875.5591,60270.88172
올림픽공원(한국체대),9호선,168208.2909,19311.27273,171782.5273,19436.34545
종합운동장,9호선,131919.6882,15560.05376,114302.0645,13469.66667
중앙보훈병원,9호선,165644.2909,63273.07273,144201.6727,62933.21818
증미,9호선,158576.8387,39575.3871,160186.3763,40157.22581
한성백제,9호선,51542.21818,12394.78182,45710,11116.81818
흑석(중앙대입구),9호선,221881.9032,50837.2043,228334.4839,51860.46237
